#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery
#Serial Number: SN:210244631383
#Date Time: 2018-02-26 11:21:14.680
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: -1 V

Time (s),Channel 1 (V)
-19.215,0.46421070695162669
-19.2075,0.46487960598521283
-19.199999999999999,0.46621740405238532
-19.192499999999999,0.46621740405238532
-19.184999999999999,0.46788965163635088
-19.177499999999998,0.46621740405238532
-19.169999999999998,0.47123414680428199
-19.162499999999998,0.47257194487145437
-19.154999999999998,0.47424419245541993
-19.147499999999997,0.90167067491701514
-19.139999999999997,0.96153713842298183
-19.1325,0.96019934035580945
-19.125,0.95919599180543003
-19.1175,0.95785819373825765
-19.109999999999999,0.95652039567108516
-19.102499999999999,0.95652039567108516
-19.094999999999999,0.95451369857032653
-19.087499999999999,0.95351035001994722
-19.079999999999998,0.95217255195277473
-19.072499999999998,0.95116920340239541
-19.064999999999998,0.94849360726805054
-19.057499999999997,0.94682135968408498
-19.049999999999997,0.94514911210011943
-19.042499999999997,0.94247351596577367
-19.035,0.94046681886501593
-19.0275,0.93779122273067106
-19.02,0.50300685089962749
-19.012499999999999,0.45852506516614377
-19.004999999999999,0.45785616613255753
-18.997499999999999,0.45819061564935071
-18.989999999999998,0.45819061564935071
-18.982499999999998,0.45819061564935071
-18.974999999999998,0.45852506516614377
-18.967499999999998,0.45785616613255753
-18.959999999999997,0.45852506516614377
-18.952499999999997,0.45718726709897128
-18.945,0.45819061564935071
-18.9375,0.45752171661576446
-18.93,0.45819061564935071
-18.922499999999999,0.45785616613255753
-18.914999999999999,0.45785616613255753
-18.907499999999999,0.45752171661576446
-18.899999999999999,0.45718726709897128
-18.892499999999998,0.45785616613255753
-18.884999999999998,0.45785616613255753
-18.877499999999998,0.45819061564935071
-18.869999999999997,0.45685281758217822
-18.862499999999997,0.45819061564935071
-18.855,0.45718726709897173
-18.8475,0.45785616613255753
-18.84,0.45718726709897128
-18.8325,0.45819061564935071
-18.824999999999999,0.45852506516614377
-18.817499999999999,0.45852506516614377
-18.809999999999999,0.45919396419973002
-18.802499999999998,0.45819061564935071
-18.794999999999998,0.45852506516614377
-18.787499999999998,0.45785616613255753
-18.779999999999998,0.45885951468293684
-18.772499999999997,0.45752171661576446
-18.764999999999997,0.45852506516614377
-18.7575,0.45852506516614377
-18.75,0.45819061564935071
-18.7425,0.45885951468293684
-18.734999999999999,0.45819061564935071
-18.727499999999999,0.45986286323331627
-18.719999999999999,0.45885951468293684
-18.712499999999999,0.45952841371652309
-18.704999999999998,0.45885951468293684
-18.697499999999998,0.45986286323331627
-18.689999999999998,0.45952841371652309
-18.682499999999997,0.45952841371652309
-18.674999999999997,0.45952841371652309
-18.6675,0.4598628632333161
-18.66,0.45952841371652309
-18.6525,0.45952841371652309
-18.645,0.46086621178369558
-18.637499999999999,0.4605317622669024
-18.629999999999999,0.4605317622669024
-18.622499999999999,0.45952841371652309
-18.614999999999998,0.4605317622669024
-18.607499999999998,0.46086621178369558
-18.599999999999998,0.4605317622669024
-18.592499999999998,0.46120066130048865
-18.584999999999997,0.4605317622669024
-18.577499999999997,0.46120066130048865
-18.57,0.46120066130048865
-18.5625,0.46186956033407489
-18.555,0.46220400985086796
-18.547499999999999,0.4628729088844542
-18.539999999999999,0.46354180791804045
-18.532499999999999,0.46454515646841976
-18.524999999999999,0.46655185356917839
-18.517499999999998,0.4675552021195577
-18.509999999999998,0.46788965163635088
-18.502499999999998,0.47056524777069575
-18.494999999999997,0.46922744970352326
-18.487499999999997,0.69063302982056241
-18.48,0.96187158793965166
-18.4725,0.96053378987260252
-18.465,0.96019934035580945
-18.4575,0.95886154228863696
-18.449999999999999,0.95752374422146458
-18.442499999999999,0.95618594615429209
-18.434999999999999,0.95518259760391278
-18.427499999999998,0.95284145098636097
-18.419999999999998,0.95217255195277473
-18.412499999999998,0.9501658548520161
-18.404999999999998,0.94815915775125748
-18.397499999999997,0.94715580920087805
-18.389999999999997,0.94481466258332636
-18.3825,0.94347686451615387
-18.375,0.93879457128105037
-18.3675,0.93946347031463662
-18.359999999999999,0.70100096484114882
-18.352499999999999,0.45885951468293684
