Model,DPO3012
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.0002,,,Horizontal Scale,0.01
Sample Interval,2e-07,,,Sample Interval,1e-05
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,0.5,0.5,,Vertical Scale,0.5
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-9.806e-04,1.49,1.06,,-4.9030e-02,0.66
-9.804e-04,1.47,1.02,,-4.9020e-02,0.66
-9.802e-04,1.49,1.06,,-4.9010e-02,0.68
-9.800e-04,1.47,1.04,,-4.9000e-02,0.66
-9.798e-04,1.49,1.06,,-4.8990e-02,0.68
-9.796e-04,1.53,1.04,,-4.8980e-02,0.7
-9.794e-04,1.45,1.04,,-4.8970e-02,0.68
-9.792e-04,1.49,1.06,,-4.8960e-02,0.66
-9.790e-04,1.45,1.06,,-4.8950e-02,0.68
-9.788e-04,1.43,1.04,,-4.8940e-02,0.68
-9.786e-04,1.47,1.04,,-4.8930e-02,0.68
-9.784e-04,1.49,1.06,,-4.8920e-02,0.7
-9.782e-04,1.53,1.08,,-4.8910e-02,0.64
-9.780e-04,1.49,1.06,,-4.8900e-02,0.7
-9.778e-04,1.49,1.06,,-4.8890e-02,0.66
-9.776e-04,1.49,1.02,,-4.8880e-02,0.7
-9.774e-04,1.47,1.06,,-4.8870e-02,0.68
-9.772e-04,1.43,1.08,,-4.8860e-02,0.7
-9.770e-04,1.49,1.12,,-4.8850e-02,0.66
-9.768e-04,1.47,1.06,,-4.8840e-02,0.66
-9.766e-04,1.49,1.1,,-4.8830e-02,0.68
-9.764e-04,1.47,1.12,,-4.8820e-02,0.7
-9.762e-04,1.45,1.1,,-4.8810e-02,0.64
-9.760e-04,1.47,1.12,,-4.8800e-02,0.68
-9.758e-04,1.53,1.14,,-4.8790e-02,0.66
-9.756e-04,1.49,1.12,,-4.8780e-02,0.68
-9.754e-04,1.49,1.08,,-4.8770e-02,0.7
-9.752e-04,1.49,1.12,,-4.8760e-02,0.66
-9.750e-04,1.49,1.12,,-4.8750e-02,0.7
-9.748e-04,1.47,1.12,,-4.8740e-02,0.7
-9.746e-04,1.49,1.1,,-4.8730e-02,0.66
-9.744e-04,1.49,1.1,,-4.8720e-02,0.64
-9.742e-04,1.47,1.1,,-4.8710e-02,0.68
-9.740e-04,1.47,1.14,,-4.8700e-02,0.66
-9.738e-04,1.49,1.12,,-4.8690e-02,0.68
-9.736e-04,1.47,1.1,,-4.8680e-02,0.68
-9.734e-04,1.47,1.12,,-4.8670e-02,0.68
-9.732e-04,1.45,1.12,,-4.8660e-02,0.7
-9.730e-04,1.49,1.1,,-4.8650e-02,0.68
-9.728e-04,1.47,1.1,,-4.8640e-02,0.7
-9.726e-04,1.47,1.1,,-4.8630e-02,0.7
-9.724e-04,1.47,1.12,,-4.8620e-02,0.66
-9.722e-04,1.45,1.14,,-4.8610e-02,0.72
-9.720e-04,1.47,1.16,,-4.8600e-02,0.68
-9.718e-04,1.49,1.16,,-4.8590e-02,0.68
-9.716e-04,1.49,1.12,,-4.8580e-02,0.66
-9.714e-04,1.51,1.16,,-4.8570e-02,0.68
-9.712e-04,1.49,1.16,,-4.8560e-02,0.68
-9.710e-04,1.49,1.14,,-4.8550e-02,0.68
-9.708e-04,1.51,1.12,,-4.8540e-02,0.7
-9.706e-04,1.53,1.16,,-4.8530e-02,0.7
-9.704e-04,1.51,1.16,,-4.8520e-02,0.68
-9.702e-04,1.45,1.14,,-4.8510e-02,0.66
-9.700e-04,1.49,1.16,,-4.8500e-02,0.72
-9.698e-04,1.49,1.14,,-4.8490e-02,0.7
-9.696e-04,1.49,1.18,,-4.8480e-02,0.66
-9.694e-04,1.47,1.16,,-4.8470e-02,0.68
-9.692e-04,1.47,1.18,,-4.8460e-02,0.68
-9.690e-04,1.51,1.16,,-4.8450e-02,0.7
-9.688e-04,0.19,1.18,,-4.8440e-02,0.66
-9.686e-04,0.47,1.18,,-4.8430e-02,0.66
-9.684e-04,0.49,1.2,,-4.8420e-02,0.7
-9.682e-04,0.47,1.18,,-4.8410e-02,0.7
-9.680e-04,0.47,1.18,,-4.8400e-02,0.66
-9.678e-04,0.49,1.18,,-4.8390e-02,0.68
-9.676e-04,0.51,1.18,,-4.8380e-02,0.66
-9.674e-04,0.47,1.2,,-4.8370e-02,0.68
-9.672e-04,0.47,1.18,,-4.8360e-02,0.66
-9.670e-04,0.47,1.16,,-4.8350e-02,0.68
-9.668e-04,0.43,1.14,,-4.8340e-02,0.7
-9.666e-04,0.45,1.16,,-4.8330e-02,0.68
-9.664e-04,0.43,1.18,,-4.8320e-02,0.7
-9.662e-04,0.45,1.16,,-4.8310e-02,0.7
-9.660e-04,0.47,1.16,,-4.8300e-02,0.7
-9.658e-04,0.47,1.16,,-4.8290e-02,0.68
-9.656e-04,0.47,1.16,,-4.8280e-02,0.7
-9.654e-04,0.47,1.18,,-4.8270e-02,0.7
-9.652e-04,0.49,1.16,,-4.8260e-02,0.68
-9.650e-04,0.49,1.16,,-4.8250e-02,0.72
-9.648e-04,0.47,1.12,,-4.8240e-02,0.64
-9.646e-04,0.47,1.16,,-4.8230e-02,0.64
-9.644e-04,0.49,1.16,,-4.8220e-02,0.68
-9.642e-04,0.43,1.18,,-4.8210e-02,0.64
-9.640e-04,0.43,1.14,,-4.8200e-02,0.7
-9.638e-04,0.47,1.18,,-4.8190e-02,0.68
-9.636e-04,0.51,1.18,,-4.8180e-02,0.68
-9.634e-04,0.49,1.16,,-4.8170e-02,0.66
-9.632e-04,0.49,1.16,,-4.8160e-02,0.68
-9.630e-04,0.49,1.18,,-4.8150e-02,0.7
-9.628e-04,0.51,1.16,,-4.8140e-02,0.68
-9.626e-04,0.47,1.12,,-4.8130e-02,0.7
-9.624e-04,0.49,1.12,,-4.8120e-02,0.68
