Model,DPO3012
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.0004,,,Horizontal Scale,0.01
Sample Interval,4e-07,,,Sample Interval,1e-05
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,1,1,,Vertical Scale,0.5
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-1.9628e-03,1.44,1.36,,-4.9070e-02,0.66
-1.9624e-03,1.4,1.32,,-4.9060e-02,0.7
-1.9620e-03,1.4,1.28,,-4.9050e-02,0.68
-1.9616e-03,1.32,1.32,,-4.9040e-02,0.68
-1.9612e-03,1.44,1.28,,-4.9030e-02,0.66
-1.9608e-03,1.44,1.36,,-4.9020e-02,0.66
-1.9604e-03,1.36,1.32,,-4.9010e-02,0.68
-1.9600e-03,1.44,1.32,,-4.9000e-02,0.66
-1.9596e-03,1.44,1.32,,-4.8990e-02,0.68
-1.9592e-03,1.48,1.28,,-4.8980e-02,0.7
-1.9588e-03,1.36,1.28,,-4.8970e-02,0.68
-1.9584e-03,1.36,1.24,,-4.8960e-02,0.66
-1.9580e-03,1.4,1.24,,-4.8950e-02,0.68
-1.9576e-03,1.4,1.28,,-4.8940e-02,0.68
-1.9572e-03,1.4,1.32,,-4.8930e-02,0.68
-1.9568e-03,1.4,1.28,,-4.8920e-02,0.7
-1.9564e-03,1.4,1.28,,-4.8910e-02,0.64
-1.9560e-03,1.4,1.32,,-4.8900e-02,0.7
-1.9556e-03,1.44,1.32,,-4.8890e-02,0.66
-1.9552e-03,1.36,1.28,,-4.8880e-02,0.7
-1.9548e-03,1.4,1.32,,-4.8870e-02,0.68
-1.9544e-03,1.44,1.28,,-4.8860e-02,0.7
-1.9540e-03,1.4,1.4,,-4.8850e-02,0.66
-1.9536e-03,1.4,1.36,,-4.8840e-02,0.66
-1.9532e-03,1.32,1.28,,-4.8830e-02,0.68
-1.9528e-03,1.4,1.28,,-4.8820e-02,0.7
-1.9524e-03,1.44,1.32,,-4.8810e-02,0.64
-1.9520e-03,1.48,1.32,,-4.8800e-02,0.68
-1.9516e-03,1.48,1.2,,-4.8790e-02,0.66
-1.9512e-03,1.48,1.2,,-4.8780e-02,0.68
-1.9508e-03,1.4,1.16,,-4.8770e-02,0.7
-1.9504e-03,1.36,1.24,,-4.8760e-02,0.66
-1.9500e-03,1.32,1.24,,-4.8750e-02,0.7
-1.9496e-03,1.4,1.28,,-4.8740e-02,0.7
-1.9492e-03,1.44,1.24,,-4.8730e-02,0.66
-1.9488e-03,1.32,1.24,,-4.8720e-02,0.64
-1.9484e-03,1.36,1.28,,-4.8710e-02,0.68
-1.9480e-03,1.4,1.24,,-4.8700e-02,0.66
-1.9476e-03,1.48,1.24,,-4.8690e-02,0.68
-1.9472e-03,1.44,1.2,,-4.8680e-02,0.68
